passengerid,survived
916,1.0
917,1.0
918,1.0
919,0.0
920,1.0
921,1.0
922,1.0
923,0.0
924,1.0
925,1.0
926,1.0
927,0.0
928,1.0
929,0.0
930,0.0
931,0.0
932,1.0
933,0.0
934,1.0
935,0.0
936,0.0
937,0.0
938,0.0
939,1.0
940,1.0
941,0.0
942,0.0
943,0.0
944,0.0
945,1.0
946,1.0
947,1.0
948,0.0
949,0.0
950,0.0
951,0.0
952,1.0
953,0.0
954,0.0
955,1.0
956,0.0
957,1.0
958,1.0
959,1.0
960,0.0
961,0.0
962,0.0
963,0.0
964,1.0
965,1.0
966,1.0
967,0.0
968,1.0
969,0.0
970,0.0
971,1.0
972,0.0
973,0.0
974,0.0
975,0.0
976,1.0
977,1.0
978,1.0
979,0.0
980,0.0
981,0.0
982,1.0
983,1.0
984,0.0
985,1.0
986,1.0
987,1.0
988,1.0
989,1.0
990,1.0
991,1.0
992,1.0
993,1.0
994,0.0
995,1.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,1.0
1003,1.0
1004,0.0
1005,1.0
1006,0.0
1007,1.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,1.0
1017,1.0
1018,0.0
1019,1.0
1020,1.0
1021,0.0
1022,0.0
1023,1.0
1024,1.0
1025,1.0
1026,0.0
1027,1.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,1.0
1034,0.0
1035,0.0
1036,1.0
1037,0.0
1038,0.0
1039,1.0
1040,0.0
1041,0.0
1042,1.0
1043,0.0
1044,1.0
1045,1.0
1046,1.0
1047,0.0
1048,1.0
1049,1.0
1050,0.0
1051,1.0
1052,1.0
1053,0.0
1054,1.0
1055,1.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,1.0
1063,0.0
1064,0.0
1065,1.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,1.0
1071,0.0
1072,1.0
1073,1.0
1074,0.0
1075,1.0
1076,0.0
1077,0.0
1078,1.0
1079,1.0
1080,1.0
1081,1.0
1082,0.0
1083,0.0
1084,1.0
1085,1.0
1086,0.0
1087,0.0
1088,0.0
1089,0.0
1090,1.0
1091,0.0
1092,1.0
1093,1.0
1094,1.0
1095,1.0
1096,0.0
1097,0.0
1098,0.0
1099,1.0
1100,1.0
1101,1.0
1102,1.0
1103,0.0
1104,0.0
1105,0.0
1106,1.0
1107,1.0
1108,1.0
1109,1.0
1110,1.0
1111,0.0
1112,1.0
1113,0.0
1114,0.0
1115,0.0
1116,0.0
1117,0.0
1118,1.0
1119,1.0
1120,1.0
1121,1.0
1122,1.0
1123,1.0
1124,0.0
1125,0.0
1126,0.0
1127,0.0
1128,0.0
1129,0.0
1130,1.0
1131,1.0
1132,1.0
1133,1.0
1134,0.0
1135,1.0
1136,1.0
1137,1.0
1138,0.0
1139,0.0
1140,0.0
1141,0.0
1142,1.0
1143,1.0
1144,1.0
1145,1.0
1146,1.0
1147,1.0
1148,0.0
1149,0.0
1150,1.0
1151,0.0
1152,0.0
1153,1.0
1154,0.0
1155,0.0
1156,1.0
1157,0.0
1158,0.0
1159,0.0
1160,0.0
1161,0.0
1162,1.0
1163,1.0
1164,1.0
1165,1.0
1166,1.0
1167,0.0
1168,1.0
1169,0.0
1170,1.0
1171,1.0
1172,0.0
1173,0.0
1174,1.0
1175,1.0
1176,0.0
1177,1.0
1178,0.0
1179,0.0
1180,0.0
1181,0.0
1182,1.0
1183,0.0
1184,1.0
1185,1.0
1186,1.0
1187,1.0
1188,0.0
1189,1.0
1190,1.0
1191,0.0
1192,0.0
1193,0.0
1194,0.0
1195,0.0
1196,0.0
1197,1.0
1198,0.0
1199,1.0
1200,1.0
1201,1.0
1202,1.0
1203,0.0
1204,1.0
1205,0.0
1206,0.0
1207,0.0
1208,1.0
1209,0.0
1210,1.0
1211,1.0
1212,1.0
1213,0.0
1214,1.0
1215,0.0
1216,0.0
1217,1.0
1218,0.0
1219,0.0
1220,1.0
1221,0.0
1222,1.0
1223,0.0
1224,1.0
1225,0.0
1226,0.0
1227,0.0
1228,0.0
1229,0.0
1230,1.0
1231,1.0
1232,1.0
1233,0.0
1234,0.0
1235,0.0
1236,0.0
1237,0.0
1238,0.0
1239,1.0
1240,1.0
1241,0.0
1242,1.0
1243,1.0
1244,0.0
1245,1.0
1246,0.0
1247,0.0
1248,0.0
1249,0.0
1250,1.0
1251,1.0
1252,1.0
1253,0.0
1254,1.0
1255,0.0
1256,1.0
1257,0.0
1258,0.0
1259,0.0
1260,0.0
1261,0.0
1262,1.0
1263,1.0
1264,1.0
1265,1.0
1266,1.0
1267,1.0
1268,0.0
1269,0.0
1270,1.0
1271,0.0
1272,0.0
1273,0.0
1274,1.0
1275,1.0
1276,1.0
1277,1.0
1278,1.0
1279,0.0
1280,1.0
1281,0.0
1282,1.0
1283,0.0
1284,1.0
1285,0.0
1286,1.0
1287,0.0
1288,0.0
1289,1.0
1290,1.0
1291,1.0
1292,0.0
1293,1.0
1294,0.0
1295,1.0
1296,1.0
1297,1.0
1298,1.0
1299,0.0
1300,0.0
1301,0.0
1302,0.0
1303,1.0
1304,1.0
1305,1.0
1306,1.0
1307,0.0
1308,0.0
